"","Gene","SPM.vs.Other","SM.vs.Other","FM.vs.Other","AveExpr","F","P.Value","adj.P.Val"
"1","GRMZM2G123896",1.35388300168767,2.123063761614,-3.47694676330167,10.151501204329,87.4943273499326,1.0039138229205e-38,2.17909534403124e-34
"2","GRMZM2G052100",-2.14937629562812,-0.3449818384223,2.49435813405042,7.3470170754816,84.0650202675744,3.09760171949422e-37,3.36182714616707e-33
"3","GRMZM2G019686",-2.13654240331888,-0.0971014611974681,2.23364386451635,6.81824684884204,81.9883773253422,2.47115591374354e-36,1.78796367545724e-32
"4","GRMZM2G160710",-1.78962495692191,-0.390215087475268,2.17984004439717,6.54207654743414,71.9812493379975,5.48201995414033e-32,2.97481812811425e-28
"5","GRMZM2G174708",-1.33623122835659,-0.856976682266549,2.19320791062314,6.31051195975215,65.5185487728417,3.51281926326529e-29,1.52498509856873e-25
"6","GRMZM2G019404",-1.47494732408069,-0.652620964221667,2.12756828830236,6.10192394801171,63.4905364726323,2.66937972102707e-28,9.65692603743559e-25
"7","GRMZM2G306679",0.948037705320873,1.46166804892401,-2.40970575424489,7.94848308489783,61.5459586095077,1.86607799838943e-27,5.78644129043443e-24
"8","GRMZM2G142721",-1.70620286648385,-0.431856241447623,2.13805910793148,5.70008295325082,59.8411570394655,1.02639778714599e-26,2.78487379597384e-23
"9","GRMZM2G126900",1.46116191724481,0.99069718949922,-2.45185910674403,7.41851118021927,59.0467741693008,2.27149509885124e-26,5.47834140174057e-23
"10","GRMZM2G076896",-1.07508197716758,-1.0259634274844,2.10104540465199,6.28828450122162,58.8491977976167,2.76769438115848e-26,6.0075574237426e-23
"11","GRMZM2G325477",-0.848969020680745,-1.337910528576,2.18687954925675,7.14751763581879,57.2931930689579,1.31184462296836e-25,2.58862721692284e-22
"12","GRMZM2G480364",-1.03259724547588,-1.24216443365844,2.27476167913431,7.43213442181448,56.9214766300005,1.90246553480657e-25,3.44124307487596e-22
"13","GRMZM2G026188",-0.921303162270787,-1.13598400503352,2.05728716730431,6.64371926011126,55.1126311892641,1.16115017330895e-24,1.93876351244955e-21
"14","GRMZM2G050234",-1.33784623109291,-0.565556495421979,1.90340272651489,6.24056015338129,53.4544603005656,6.09568980017495e-24,9.45093162875696e-21
"15","GRMZM2G108615",-1.78874907336245,0.11696214047821,1.67178693288424,5.9103805499174,50.2644658993001,1.48053890510401e-22,2.14243849827918e-19
"16","GRMZM2G175525",-0.687466598192794,-1.21334496634611,1.9008115645389,6.13626137262681,47.9799591193255,1.454013746818e-21,1.97255139927697e-18
"17","GRMZM2G176394",-1.32330182426398,-0.398562152572807,1.72186397683678,6.18008445911527,46.4421541357393,6.7675072725581e-21,8.64091252106742e-18
"18","GRMZM2G159285",-1.39391720274497,-0.479685518865814,1.87360272161078,5.60858976521125,46.1620546858042,8.95518117543543e-21,1.07989534774445e-17
"19","AC214635.3-FG006",-0.339704555470131,-1.45930281525164,1.79900737072177,6.45215391487267,46.0349603408131,1.01688244363016e-20,1.16170791165454e-17
"20","AC210163.3-FG005",-0.989326078409465,-0.810836279925947,1.80016235833541,5.98367000176897,44.6604976507062,4.01968768443847e-20,4.36256704392107e-17
"21","GRMZM2G007729",0.897646995902313,1.11389583092464,-2.01154282682695,7.85945169056926,44.3378242308872,5.55044235948457e-20,5.73704294547486e-17
"22","GRMZM2G139786",-0.181213506307295,-1.52164892680258,1.70286243310987,7.05806538730373,43.6365403204144,1.11915780930928e-19,1.10420179131214e-16
"23","GRMZM2G123394",-1.72644090374058,-0.301202182954121,2.0276430866947,8.37724882975293,43.3872153378278,1.4360573814562e-19,1.35526354442993e-16
"24","GRMZM2G452564",-1.18821299872778,-0.487522538294572,1.67573553702235,6.23372817098164,42.8180627363161,2.53718203616279e-19,2.29466971987289e-16
"25","EF517601.1-FG016",-0.30559169307268,-1.43111326873897,1.73670496181165,7.07989056549068,42.715719589396,2.81059773411308e-19,2.44027337666634e-16
"26","GRMZM2G070849",-1.01392699830144,-0.738488062520779,1.75241506082222,6.52430445141105,42.583022198865,3.20943390504689e-19,2.67938355165184e-16
"27","GRMZM2G067225",-0.779759385997346,-1.1258855944777,1.90564498047505,7.33145593840562,42.2193292477801,4.61719565220727e-19,3.71188328988189e-16
"28","GRMZM2G023081",-0.839779432609195,-0.93589124431988,1.77567067692907,6.66776272961967,42.0727271357179,5.34621926241182e-19,4.03634952214004e-16
"29","GRMZM2G099340",-1.16299528294489,-0.537281254833532,1.70027653777842,6.53997442172766,42.0640689570576,5.39270875067084e-19,4.03634952214004e-16
"30","GRMZM2G161274",-1.29677184349185,-0.456554559530736,1.75332640302259,5.64586093029597,41.8037574956677,6.99614491708452e-19,5.06194405234122e-16
"31","GRMZM2G007195",-0.92201910518218,-0.946298742027944,1.86831784721012,7.22845956119542,41.0312807878349,1.51475072286147e-18,1.06061868356229e-15
"32","GRMZM2G090419",-0.923856798820428,-0.872406953001963,1.79626375182239,6.98321848637978,40.4043385649593,2.83542860431765e-18,1.92330666516622e-15
"33","GRMZM2G167563",-1.02798191014499,-0.667791482554978,1.69577339269997,5.84001828352331,39.8466331449078,4.95252986066613e-18,3.25756403501876e-15
"34","AC209987.4-FG010",-0.979025758202679,-0.712881015143466,1.69190677334614,5.85743455328852,39.6213125032709,6.204154638536e-18,3.96080531129595e-15
"35","GRMZM2G409722",-1.2991925375946,-0.417351954084563,1.71654449167916,7.13067931571459,39.3612857995995,8.04656968312796e-18,4.99025261548502e-15
"36","GRMZM2G552956",-1.21797252598412,-0.762807919896093,1.98078044588021,7.92782053822293,39.3144082270114,8.43275431899339e-18,5.08448236800196e-15
"37","AC208201.3-FG002",-0.476834765673548,-1.2324016003762,1.70923636604975,7.00303354423003,39.1514764601392,9.92498399277841e-18,5.82247844722293e-15
"38","GRMZM2G099619",-1.20067505131515,-0.431896666937676,1.63257171825283,5.76292115666061,38.6675461143185,1.61026774527076e-17,9.19801886285452e-15
"39","GRMZM2G065471",-1.05113637104824,-0.565945233434781,1.61708160448302,5.87827175514234,37.8098216183459,3.79667226205348e-17,2.07334837398598e-14
"40","GRMZM2G028568",-0.731186924355039,-0.914185562830476,1.64537248718552,6.13592944022622,37.8034909744179,3.82078388277154e-17,2.07334837398598e-14
"41","GRMZM2G077356",-1.44423226295787,-0.0302290649547077,1.47446132791258,6.94005195458098,37.7108875314982,4.19150161081373e-17,2.21904229181275e-14
"42","AC212565.3-FG001",0.409398802756741,-1.66688107295352,1.25748227019677,7.47947680759246,36.7391964908316,1.10756620183412e-16,5.72400761357414e-14
"43","GRMZM2G119359",-1.36705439433837,-0.0799529137800388,1.4470073081184,5.87141762825011,36.7095505428444,1.14089260749415e-16,5.75911975308557e-14
"44","GRMZM2G364127",-0.923750790317643,-0.68798210889268,1.61173289921032,5.79583650653252,35.6639718527152,3.24589017700905e-16,1.6012566405036e-13
"45","GRMZM5G899188",0.856032787426529,0.935985274155682,-1.79201806158221,7.16686273684797,35.4839774558279,3.88601430486473e-16,1.87444058891986e-13
"46","GRMZM2G051151",-1.32125266910223,-0.216732483768823,1.53798515287105,7.10984700827447,34.7545122697102,8.05948144979015e-16,3.80302400759011e-13
"47","GRMZM2G130943",-1.09335558670773,-0.479927082038217,1.57328266874595,5.67144745793371,34.4023462884045,1.14617476481728e-15,5.29337647768591e-13
"48","GRMZM2G126732",-1.50508974405346,0.241128411436351,1.26396133261711,5.81524969900742,34.304119533001,1.2644748048126e-15,5.71806044026298e-13
"49","GRMZM5G834837",-1.0883951585278,-0.418711619066739,1.50710677759454,5.85378333910246,34.267585800635,1.31152501572522e-15,5.80978816149626e-13
"50","GRMZM2G127224",-1.20410005772483,-0.26367409436009,1.46777415208492,5.81730389559772,34.1192032414149,1.5213120502785e-15,6.60431987266904e-13
"51","GRMZM2G174860",-0.786645108690855,-0.821382876104399,1.60802798479525,5.68641462320943,33.7848626032317,2.12530174868999e-15,9.04545093275784e-13
